127.0.0.1 - - [10/Mar/2016:22:20:23 +0300] "HEAD / HTTP/1.1" 200 -
127.0.0.1 - - [10/Mar/2016:22:20:27 +0300] "GET / HTTP/1.1" 200 525
127.0.0.1 - - [10/Mar/2016:22:20:28 +0300] "GET /favicon.ico HTTP/1.1" 404 292
127.0.0.1 - - [10/Mar/2016:22:21:03 +0300] "GET / HTTP/1.1" 200 2057
127.0.0.1 - - [10/Mar/2016:22:21:03 +0300] "GET /css/main.css HTTP/1.1" 200 2594
127.0.0.1 - - [10/Mar/2016:22:21:03 +0300] "GET /css/form.css HTTP/1.1" 200 2715
127.0.0.1 - - [10/Mar/2016:22:21:03 +0300] "GET /css/screen.css HTTP/1.1" 200 10717
127.0.0.1 - - [10/Mar/2016:22:21:03 +0300] "GET /css/print.css HTTP/1.1" 200 1286
127.0.0.1 - - [10/Mar/2016:22:21:03 +0300] "GET /css/bg.gif HTTP/1.1" 200 243
127.0.0.1 - - [10/Mar/2016:22:21:05 +0300] "GET /index.php?r=site/page&view=about HTTP/1.1" 200 1680
127.0.0.1 - - [10/Mar/2016:22:21:06 +0300] "GET /index.php?r=site/contact HTTP/1.1" 200 6560
127.0.0.1 - - [10/Mar/2016:22:21:06 +0300] "GET /assets/f2776f12/jquery.yiiactiveform.js HTTP/1.1" 200 14657
127.0.0.1 - - [10/Mar/2016:22:21:06 +0300] "GET /assets/f2776f12/jquery.js HTTP/1.1" 200 282766
127.0.0.1 - - [10/Mar/2016:22:21:06 +0300] "GET /index.php?r=site/captcha&v=56e1c92234137 HTTP/1.1" 200 3106
127.0.0.1 - - [10/Mar/2016:22:21:06 +0300] "GET /index.php?r=site/login HTTP/1.1" 200 4239
127.0.0.1 - - [10/Mar/2016:22:21:06 +0300] "GET /assets/f2776f12/jquery.yiiactiveform.js HTTP/1.1" 200 14657
127.0.0.1 - - [10/Mar/2016:22:21:06 +0300] "GET /assets/f2776f12/jquery.js HTTP/1.1" 200 282766
127.0.0.1 - - [10/Mar/2016:22:21:11 +0300] "GET /index.php?r=site/index HTTP/1.1" 200 2057
127.0.0.1 - - [10/Mar/2016:22:21:29 +0300] "GET /index.php?r=site/page&view=about HTTP/1.1" 200 1680
127.0.0.1 - - [10/Mar/2016:22:21:29 +0300] "GET /css/screen.css HTTP/1.1" 304 -
127.0.0.1 - - [10/Mar/2016:22:21:29 +0300] "GET /css/main.css HTTP/1.1" 304 -
